MATCH    @ [          6][          2]: spike=0, residue=30
MATCH    @ [          6][          3]: spike=1, residue=10
MATCH    @ [          6][          4]: spike=1, residue=13
MATCH    @ [          6][          5]: spike=1, residue=8
MATCH    @ [          6][          6]: spike=1, residue=10
MATCH    @ [          6][          7]: spike=1, residue=15
MATCH    @ [          6][          8]: spike=1, residue=10
MATCH    @ [          6][          9]: spike=1, residue=2
MATCH    @ [          6][         10]: spike=0, residue=29
MATCH    @ [          6][         11]: spike=1, residue=3
MATCH    @ [          6][         12]: spike=1, residue=11
MATCH    @ [          6][         13]: spike=1, residue=4
MATCH    @ [          6][         14]: spike=0, residue=21
MATCH    @ [          6][         15]: spike=0, residue=17
MATCH    @ [          6][         16]: spike=0, residue=18
MATCH    @ [          6][         17]: spike=0, residue=27
MATCH    @ [          6][         18]: spike=0, residue=16
MATCH    @ [          6][         19]: spike=0, residue=16
MATCH    @ [          6][         20]: spike=0, residue=20
MATCH    @ [          7][          0]: spike=0, residue=22
MATCH    @ [          7][          1]: spike=1, residue=3
MATCH    @ [          7][          2]: spike=1, residue=5
MATCH    @ [          7][          3]: spike=0, residue=27
MATCH    @ [          7][          4]: spike=1, residue=4
MATCH    @ [          7][          5]: spike=1, residue=8
MATCH    @ [          7][          6]: spike=1, residue=5
MATCH    @ [          7][          7]: spike=0, residue=32
MATCH    @ [          7][          8]: spike=0, residue=30
MATCH    @ [          7][          9]: spike=1, residue=2
MATCH    @ [          7][         10]: spike=1, residue=2
MATCH    @ [          7][         11]: spike=1, residue=3
MATCH    @ [          7][         12]: spike=1, residue=1
MATCH    @ [          7][         13]: spike=1, residue=1
MATCH    @ [          7][         14]: spike=1, residue=1
MATCH    @ [          7][         15]: spike=1, residue=4
MATCH    @ [          7][         16]: spike=0, residue=30
MATCH    @ [          7][         17]: spike=1, residue=2
MATCH    @ [          7][         18]: spike=0, residue=30
MATCH    @ [          7][         19]: spike=0, residue=19
MATCH    @ [          7][         20]: spike=0, residue=22
MATCH    @ [          8][          0]: spike=1, residue=7
MATCH    @ [          8][          1]: spike=0, residue=32
MATCH    @ [          8][          2]: spike=0, residue=32
MATCH    @ [          8][          3]: spike=0, residue=25
MATCH    @ [          8][          4]: spike=0, residue=25
MATCH    @ [          8][          5]: spike=0, residue=26
MATCH    @ [          8][          6]: spike=0, residue=31
MATCH    @ [          8][          7]: spike=1, residue=4
MATCH    @ [          8][          8]: spike=1, residue=7
MATCH    @ [          8][          9]: spike=1, residue=8
MATCH    @ [          8][         10]: spike=0, residue=32
